"","WRS_IDs","age","gender","agegender","agegender2","region","newspaper","partyid","socialgrade","profile_education_age","profile_education_level","profile_housing_stat","w1_starttime","w1_endtime","w1_W8","w1_q1","w1_q2","w1_pi1","w1_pi2","w1_pi3","w1_pi4","w1_pi5","w1_pi6","w1_pi7_new_1","w1_pi7_new_2","w1_pi7_new_3","w1_pi7_new_4","w1_pi7_new_5","w1_pi8grid_new","w1_pi8_new","w1_pi9_new","w1_pi10_new","w1_pi11_new","w1_vi1","w1_vi2","w1_vi3o","w1_vi3_1","w1_vi3_2","w1_vi3_3","w1_vi3_4","w1_vi3_5","w1_vi3_6","w1_vi3_7","w1_vi4o","w1_vi4_1","w1_vi4_2","w1_vi4_3","w1_vi4_4","w1_vi4_5","w1_vi4_6","w1_vi4_7","w1_vi5","w1_vi6","w1_vi7o","w1_vi7","w1_vi8","w1_vi9grid","w1_vi9a","w1_vi9b","w1_vi9c","w1_vi9d","w1_vi10","w1_vi11o","w1_vi11","w1_vi12","w1_vi13o","w1_vi13","w1_vi14","w1_vi15","w1_vi16","w1_vi17","w1_vi18","w1_vi19","w1_vi20","w1_vi20o","w1_vi21","w1_cp1","w1_cp2a_1","w1_cp2a_2","w1_cp2a_3","w1_cp2a_4","w1_cp2a_5","w1_cp2a_6","w1_cp2b","w1_cp3e_1","w1_cp3e_2","w1_cp3e_3","w1_cp3e_4","w1_cp3e_5","w1_cp3e_6","w1_cp3e_7","w1_cp3e_8","w1_cp3f","w1_cp3g_1","w1_cp3g_2","w1_cp3g_3","w1_cp3g_4","w1_cp3g_5","w1_cp3g_6","w1_cp3g_7","w1_cp3g_8","w1_cp3h","w1_cp3i_1","w1_cp3i_2","w1_cp3i_3","w1_cp3i_4","w1_cp3i_5","w1_cp3i_6","w1_cp3i_7","w1_cp3i_8","w1_cp3j","w1_cp3k_1","w1_cp3k_2","w1_cp3k_3","w1_cp3k_4","w1_cp3k_5","w1_cp3k_6","w1_cp3k_7","w1_cp3k_8","w1_cp3l","w1_cb4grid","w1_cp4a","w1_cp4b","w1_cp4c","w1_cp4d","w1_cp4e","w1_cp5","w1_d16a","w1_d16b","w1_d17a","w1_d17b","w1_d17c","w1_d18","w1_d19","w1_d20","w1_d21","w1_d22","w1_pi1a","w1_pi1b","w1_pi2a","w1_pi2b","w1_pi12grid","w1_pi12a","w1_pi12b","w1_pi12c","w1_pi12d","w1_pi12e","w1_pi12f","w1_pi12g","w1_pi12h","w1_pi12i","w1_pi13grid","w1_pi13a","w1_pi13b","w1_pi13c","w1_pi13d","w1_pi13e","w1_pi13f","w1_pi13g","w1_pi13h","w1_pi13i","w1_pi14grid","w1_pi14a","w1_pi14b","w1_pi14c","w1_pi14d","w1_pi14e","w1_p15","w1_p16","w1_pi3a","w1_pi3b","w1_pi4a","w1_pi4b","w1_pi5a","w1_pi5b","w1_pi6a","w1_pi6b","w1_pi7","w1_pi8","w1_pi9","w1_pi10","w1_pi11","w1_ap1a","w1_ap1b","w1_ap2grid","w1_ap2a","w1_ap2b","w1_ap2c","w1_ap2d","w1_ap2e","w1_ap2f","w1_ap2g","w1_ap3grid","w1_ap3a","w1_ap3b","w1_ap3c","w1_ap3d","w1_ap3e","w1_ap3f","w1_ap3g","w1_ap7grid","w1_ap7a","w1_ap7b","w1_ap7c","w1_ap7d","w1_ap7e","w1_ap7f","w1_ap7g","w1_ap8grid","w1_ap8a","w1_ap8b","w1_ap8c","w1_ap8d","w1_ap8e","w1_ap8f","w1_ap8g","w1_ap9","w1_ap10grid","w1_ap10a","w1_ap10b","w1_ap10c","w1_ap10d","w1_ap10e","w1_ap10f","w1_ap10g","w1_ap11_1","w1_ap11grid","w1_ap11a","w1_ap11b","w1_ap11c","w1_ap11d","w1_ap11e","w1_ap11f","w1_ap11g","w1_ap5grid1","w1_ap5a","w1_ap5b","w1_ap5c","w1_ap5d","w1_ap5e","w1_ap5grid2","w1_ap5f","w1_ap5g","w1_ap5h","w1_ap5i","w1_ap5j","w1_ap5grid3","w1_ap5k","w1_ap5l","w1_ap5m","w1_ap5n","w1_ap5o","w1_ap5grid4","w1_ap5p","w1_ap5q","w1_ap5r","w1_ap5s","w1_ap5t","w1_ap6grid","w1_ap6a","w1_ap6b","w1_ap6c","w1_ap6d","w1_ap6e","w1_ap6f","w1_ap6g","w1_ap12grid","w1_ap12a","w1_ap12b","w1_ap13grid","w1_ap13a","w1_ap13b","w1_ad1","w1_ad2","w1_ad2a","w1_ad2b","w1_ad2c","w1_ad2d","w1_ad2e","w1_ad2f","w1_ad2g","w1_ad3","w1_ad4","w1_ad5_1","w1_ad5_2","w1_ad5_3","w1_ad5_4","w1_ad5_5","w1_ad5_6","w1_ad5_7","w1_ad6","w1_ad7","w1_ad8","w1_ad9","w1_ad10","w1_ad11grid","w1_ad11a","w1_ad11b","w1_ad11c","w1_ad11d","w1_ad11e","w1_ad12grid","w1_ad12a","w1_ad12b","w1_ad12c","w1_ad12d","w1_ad12e","w1_ad13","w1_ad14","w1_r1grid","w1_r1a","w1_r1b","w1_r1c","w1_r1d","w1_r1e","w1_r1f","w1_r1g","w1_r1h","w1_r1j","w1_r2grid","w1_r2a","w1_r2b","w1_r2c","w1_r2d","w1_r2e","w1_r2f","w1_r2g","w1_r2h","w1_party","w1_split"
"55",67,49,1,3,3,5,7,6,1,3,18,2,2011-04-21 16:26:56,2011-04-21 16:37:30,0.385310705705623,6,NA,4,8,4,4,1,4,1,1,1,1,2,1,3,2,2,2,1,1,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,4,6,"__NA__",NA,NA,1,2,9,2,8,12,"__NA__",NA,NA,"__NA__",5,4,4,5,5,NA,NA,NA,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,1,6,3,NA,3,NA,NA,2,NA,1,4,4,"DK",11,"DK",11,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,NA,5,1,5,1,5,1,5,1,5,5,4,4,4,2,NA,1,1,6,1,2,6,1,1,1,1,12,1,12,12,12,12,1,1,12,1,12,12,12,12,1,1,12,1,12,12,12,12,6,1,3,11,10,5,6,6,1,12,1,12,12,12,12,12,12,12,1,4,4,4,4,4,1,1,1,3,3,3,1,4,4,4,4,4,1,2,2,1,1,3,1,6,1,1,1,1,1,1,1,4,4,1,5,5,1,1,2,1,1,3,5,4,4,4,5,1,1,1,1,1,2,2,2,1,2,1,9,1,1,2,2,1,1,1,2,2,2,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,3,1,1,"",1
"56",69,67,1,4,4,5,7,1,2,1,5,1,2011-04-08 16:09:24,2011-04-08 16:32:49,0.515095982189029,2,NA,2,7,1,1,1,2,1,1,1,1,2,1,4,1,2,1,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",3,NA,1,1,11,1,1,2,"__NA__",2,NA,"__NA__",3,2,2,1,2,1,4,4,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,1,4,5,5,2,1,1,1,2,2,1,1,11,1,3,"Unemployment",3,"Unemployment",3,1,3,4,5,5,5,5,5,5,3,1,2,3,2,2,3,3,3,2,3,1,2,3,1,2,2,1,NA,1,2,4,1,3,3,4,3,5,5,2,2,2,1,1,1,1,9,1,7,4,2,1,1,1,8,3,11,7,1,3,1,2,8,2,9,8,2,3,1,1,8,1,10,7,2,2,6,1,6,10,9,4,4,9,11,6,1,6,11,11,6,6,11,11,1,4,4,4,4,4,1,2,2,2,2,2,1,3,4,4,4,4,1,2,2,2,1,3,1,11,1,1,1,1,1,1,1,5,4,1,3,3,4,1,6,6,6,6,3,2,2,3,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,1,2,2,1,2,2,5,1,11,11,1,1,1,1,6,1,6,1,9,1,9,9,9,6,11,6,"Labour",1
"57",70,47,1,3,3,6,4,3,2,5,17,2,2011-04-22 09:07:10,2011-04-22 09:49:02,0.231299710443631,3,NA,1,9,1,1,1,1,2,1,2,1,2,1,2,1,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,2,3,"__NA__",2,NA,1,1,10,8,1,3,"Labour think they own the seat, Plaid are Locally language nutters with nothing to say and the Tories are usually a parachuted in chinless wonder. We also have freaks and loonies. My choice is because at present we have no choice.",7,NA,"__NA__",1,1,3,2,3,1,2,2,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,5,3,1,3,1,6,1,3,1,3,3,1,1,11,1,1,"Depth and pace of economic cuts",2,"The need to move from a dependency culture looking back to a vibrant economy looking forward.",5,1,2,3,5,4,3,3,4,4,2,1,3,2,1,2,3,4,4,2,2,1,4,4,3,4,2,NA,2,2,2,3,2,2,3,3,4,4,2,4,2,3,1,3,1,4,7,9,6,8,1,1,1,3,5,6,4,5,4,5,1,4,7,6,6,4,3,4,1,4,7,7,5,6,4,7,5,1,7,8,5,2,2,9,2,7,1,6,4,7,10,10,3,8,1,3,1,3,3,3,1,2,2,2,2,3,1,2,3,2,3,2,1,2,3,2,1,3,1,8,5,9,5,6,1,1,1,2,3,1,5,5,2,1,4,5,2,1,3,2,2,4,1,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,3,2,2,1,1,1,2,2,2,1,1,2,4,1,11,11,8,8,8,7,11,11,11,1,9,9,9,9,9,9,9,9,"Liberal Democrat",2
"58",71,63,1,4,4,2,4,3,1,5,17,1,2011-04-14 12:18:53,2011-04-14 12:37:48,0.128409341097759,4,NA,2,9,2,2,1,2,2,1,1,2,2,1,3,2,3,1,7,8,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,2,4,"__NA__",3,NA,1,1,7,1,11,4,"__NA__",3,NA,"__NA__",1,3,2,5,4,2,1,2,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,2,2,3,2,6,3,NA,3,NA,NA,2,NA,9,1,2,"Economy",4,"Economy",4,1,3,2,5,2,5,2,2,2,3,1,4,5,5,4,5,5,5,2,5,1,4,3,2,2,4,NA,1,3,3,3,3,3,1,4,3,2,3,5,4,3,2,NA,1,6,4,7,6,3,6,1,1,8,4,8,2,9,7,5,1,8,3,7,2,7,6,3,1,7,4,7,3,9,4,4,7,1,4,9,7,4,4,9,11,5,1,11,2,7,9,8,1,1,1,3,3,3,4,2,1,3,4,4,4,4,1,2,4,3,4,3,1,2,4,2,1,3,1,5,7,7,7,3,5,1,1,2,2,1,3,2,3,1,2,2,1,2,5,2,2,3,4,1,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,2,2,1,1,1,2,2,2,2,2,4,2,1,4,6,3,3,1,1,8,7,8,1,6,6,6,6,6,6,6,6,"Plaid Cymru",2
"59",72,69,1,4,4,2,5,2,1,3,19,2,2011-04-30 10:41:10,2011-04-30 11:09:39,0.352989098775758,7,NA,2,6,3,3,1,3,2,2,2,2,1,1,3,2,2,4,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,7,"__NA__",NA,NA,1,1,11,12,12,13,"__NA__",NA,NA,"__NA__",3,3,3,5,5,NA,NA,NA,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,1,2,3,1,6,1,2,1,6,3,1,2,11,1,2,"The economy",4,"DK",11,1,3,3,3,3,4,2,2,3,3,1,5,5,5,5,4,5,5,5,4,1,3,3,3,3,3,NA,4,2,2,6,5,3,5,6,NA,6,3,5,3,6,1,2,1,11,1,9,1,12,12,1,1,7,1,8,12,12,12,12,1,9,4,9,12,12,12,12,1,12,12,12,12,12,12,12,7,1,5,6,6,3,12,12,11,5,1,12,12,12,12,12,12,12,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,4,2,2,3,1,1,9,9,1,1,1,1,1,2,2,1,5,5,4,1,2,4,2,1,3,4,4,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,11,11,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,"",2
"60",73,62,1,4,4,2,5,6,1,2,16,2,2011-04-21 18:30:12,2011-04-21 18:47:37,0.24028441101418,7,NA,2,6,4,2,1,1,2,1,2,1,2,1,3,2,1,2,9,11,"i don't consider myself to be Welsh & wont be here forever",2,2,2,2,1,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,7,"__NA__",NA,NA,1,1,8,1,9,13,"__NA__",NA,NA,"__NA__",1,3,2,1,5,NA,NA,NA,"__NA__",5,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,1,3,5,4,6,1,3,4,NA,NA,2,NA,11,1,1,"the economy",11,"the economy, particularly unemployment",11,1,3,2,4,3,5,4,2,5,3,1,3,4,3,3,3,4,5,4,4,1,2,4,1,5,2,2,NA,2,2,4,2,5,4,3,3,3,3,4,3,3,2,NA,1,6,6,7,6,6,1,1,1,6,5,6,12,6,1,6,1,7,5,5,12,6,1,5,1,5,1,5,12,12,1,5,8,1,4,9,8,3,6,4,1,7,1,12,12,12,12,12,12,12,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,2,3,2,2,3,1,8,8,8,8,4,1,1,1,5,5,1,5,5,3,1,2,4,2,1,4,6,6,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,2,2,2,1,1,3,3,1,8,10,1,1,1,1,3,6,3,1,8,8,8,8,8,6,8,8,"",1
"61",74,71,2,8,8,6,1,1,1,1,17,1,2011-04-10 14:07:16,2011-04-10 14:13:35,0.763026005373438,2,NA,2,7,3,3,1,3,2,2,2,2,1,1,2,2,2,1,9,4,"__NA__",2,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,2,"__NA__",1,NA,1,6,5,5,5,2,"__NA__",2,NA,"__NA__",2,1,2,1,2,1,3,1,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,2,1,3,2,2,1,1,1,2,2,3,NA,2,1,1,"dk",3,"dk",3,1,5,5,5,5,5,5,5,5,5,1,2,4,2,2,2,2,2,2,2,1,2,3,3,2,3,NA,4,2,2,1,3,1,3,2,1,2,1,3,5,4,1,1,1,4,2,4,3,3,4,2,1,3,6,7,8,2,7,5,1,4,4,4,4,5,4,4,1,6,8,7,7,8,6,5,12,1,4,4,4,5,4,3,4,6,1,4,3,4,5,4,3,2,1,2,3,2,3,3,1,2,2,3,3,2,1,4,3,3,3,2,1,4,4,4,4,4,1,4,4,3,4,4,4,4,1,3,2,1,1,2,5,1,4,3,3,3,3,3,2,3,5,2,2,1,2,2,2,2,NA,NA,1,NA,NA,1,3,2,3,3,3,1,3,2,1,1,3,5,1,1,5,5,6,5,6,6,6,6,5,1,6,5,7,5,5,6,5,6,"Labour",2
"62",75,51,1,3,3,2,6,6,1,5,16,2,2011-05-03 13:10:49,2011-05-03 14:10:13,1.18431884603902,1,NA,1,9,1,1,1,2,2,1,2,1,2,1,3,2,2,3,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,1,"Personal friend",7,NA,1,6,6,3,4,4,"__NA__",6,1,"__NA__",1,1,1,5,1,2,4,3,"__NA__",4,2,1,1,1,1,2,2,"__NA__",2,1,1,2,1,2,2,2,"__NA__",2,1,2,1,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,1,2,5,4,5,2,1,2,1,1,4,1,1,11,1,2,"economy",4,"economy",4,1,3,4,4,5,4,3,2,4,3,1,3,5,3,5,3,5,5,3,5,1,3,4,2,4,2,2,NA,3,3,4,3,4,3,2,2,2,3,4,3,2,2,NA,1,5,4,6,9,2,2,1,1,7,7,6,9,9,7,8,1,8,7,6,9,8,7,8,1,7,8,7,9,8,8,8,7,1,4,9,5,5,5,10,11,5,1,8,4,6,6,12,12,12,1,3,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,1,2,1,6,7,5,7,2,1,1,1,5,3,1,5,5,4,1,4,4,4,1,2,2,2,2,2,1,1,1,1,1,2,2,4,4,4,4,9,1,1,2,2,1,1,1,2,2,2,1,1,2,3,1,11,11,11,2,1,1,3,3,11,1,6,6,6,6,6,7,7,7,"Conservative",1
"63",76,43,1,3,3,1,7,6,1,5,11,1,2011-04-21 17:42:24,2011-04-21 18:19:52,0.455676004695394,1,NA,2,6,1,2,1,2,1,1,1,1,2,1,1,2,3,1,10,10,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,1,"__NA__",2,NA,1,8,2,8,4,5,"the assembly needs more environment focused input",7,NA,"__NA__",1,3,3,1,1,2,3,3,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,6,6,4,2,6,1,2,1,3,5,1,2,10,2,2,"Over Population",2,"Environment",2,1,3,3,3,2,3,2,1,3,2,1,5,4,4,5,4,5,5,4,4,1,3,5,3,3,4,2,NA,4,3,5,2,3,3,3,3,2,2,5,4,3,2,NA,1,8,1,7,5,8,5,2,1,9,3,6,5,6,1,10,1,9,4,7,6,8,5,7,1,6,2,6,5,3,1,9,12,1,6,8,7,5,5,9,11,6,1,8,5,7,7,7,5,12,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,1,10,10,8,10,4,1,1,1,2,1,5,3,4,1,3,4,3,5,2,2,2,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,2,5,2,1,1,1,1,2,1,1,1,3,2,1,10,10,2,3,2,2,8,9,11,1,9,9,9,9,9,9,9,9,"Conservative",1
"64",77,55,1,3,4,5,7,1,1,1,1,1,2011-04-18 11:43:13,2011-04-18 12:04:49,0.371950486354213,2,NA,2,8,1,1,1,2,1,1,1,1,2,1,3,2,3,1,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",1,NA,1,1,9,5,1,2,"__NA__",1,NA,"__NA__",3,2,1,2,2,1,4,4,"__NA__",4,2,1,1,2,2,2,2,"__NA__",2,1,1,1,1,2,2,2,"__NA__",2,1,1,2,1,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,3,4,4,4,2,1,1,1,2,2,1,1,11,1,2,"cuts to benefits and defence",3,"immigration",8,1,4,5,5,4,5,4,5,5,5,1,3,4,3,2,2,4,4,2,2,1,1,2,1,2,1,2,NA,2,2,2,2,3,3,4,1,4,5,2,2,2,1,1,1,1,11,1,8,8,9,6,1,1,8,1,9,8,1,4,1,4,9,2,9,8,1,5,1,1,7,1,9,9,1,6,4,1,4,9,8,4,6,6,9,6,1,12,12,12,12,12,12,12,1,4,4,4,4,4,1,2,5,2,5,1,1,3,5,3,5,4,1,2,5,1,1,3,1,11,1,1,4,5,8,7,1,5,4,1,5,2,3,1,4,4,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,10,1,1,2,2,1,1,1,2,2,2,1,1,2,5,1,11,11,10,4,4,8,9,8,11,1,8,2,5,4,8,4,8,2,"Labour",1
"65",78,63,1,4,4,2,5,2,1,4,18,1,2011-05-01 00:06:46,2011-05-01 00:33:03,0.352989098775758,1,NA,1,11,1,1,1,1,2,1,2,1,2,1,4,5,5,5,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,1,"Conservative party member and agent for the candidate",7,NA,1,7,9,1,1,6,"tactical",7,NA,"__NA__",2,2,1,5,1,1,3,3,"__NA__",4,2,1,1,1,1,1,2,"bnp ukip",2,1,2,2,1,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,3,5,1,5,5,5,1,2,1,1,1,1,2,11,1,2,"EU and its legal jurisdiction",8,"Plaid's independence agenda",2,1,3,4,2,2,3,2,2,2,3,1,4,5,4,5,5,5,5,5,3,1,5,5,5,5,5,3,NA,5,2,5,2,5,2,5,2,2,4,5,5,5,1,2,1,10,1,1,1,1,10,4,1,8,1,1,1,1,1,4,1,11,1,4,2,1,2,3,1,5,2,2,1,1,2,2,11,1,2,6,2,1,1,8,1,1,1,11,6,11,11,11,6,12,1,2,2,2,2,3,1,3,4,3,3,4,1,3,4,3,3,4,1,4,4,5,5,4,1,1,10,1,1,1,10,1,1,3,5,1,4,4,5,1,5,3,2,3,4,3,3,4,5,1,1,1,1,1,2,2,2,3,1,2,9,1,1,2,2,1,1,1,1,1,1,1,1,5,2,1,11,11,11,11,11,11,6,1,11,1,9,2,9,9,11,6,11,1,"Conservative",1
"66",80,55,1,3,4,6,6,4,2,1,1,1,2011-04-12 11:09:00,2011-04-12 11:36:33,1.57967169032377,4,NA,2,7,1,2,1,1,1,1,1,1,2,1,5,1,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,4,"__NA__",5,5,1,1,11,1,1,4,"__NA__",1,NA,"__NA__",1,1,4,1,4,2,3,2,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,3,3,3,3,4,1,3,1,4,4,1,1,11,1,1,"goverment cutbacks",3,"goverment cutbacks",6,1,3,3,5,3,5,4,4,5,3,1,3,3,2,3,3,2,4,2,4,1,4,3,3,4,2,NA,1,5,3,3,2,3,3,3,3,5,5,4,4,3,2,NA,1,3,6,4,8,5,1,1,1,3,6,4,8,8,5,7,1,3,6,4,8,8,5,7,1,3,12,4,12,12,12,12,4,1,6,8,6,6,4,9,11,6,1,5,3,6,6,7,12,12,1,4,5,3,3,4,1,3,5,5,2,3,1,2,5,2,5,3,1,2,5,2,2,2,1,7,4,6,10,5,1,1,1,4,3,1,2,2,3,1,2,2,1,1,5,5,4,4,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,2,2,3,4,1,11,11,12,4,1,3,6,6,9,1,6,6,6,6,6,8,6,5,"Plaid Cymru",2
"67",81,27,1,2,2,3,5,1,1,5,11,4,2011-04-21 15:06:16,2011-04-21 15:21:32,0.316784903246665,2,NA,2,9,1,1,1,2,2,1,2,1,2,1,2,2,3,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",1,NA,1,4,9,4,4,5,"__NA__",5,2,"__NA__",1,2,1,2,2,1,4,4,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,4,4,3,3,5,1,1,1,2,2,1,1,11,1,1,"Daily Mail",7,"Conservative government",3,1,3,5,5,4,5,4,5,5,3,1,3,3,3,2,3,2,3,2,4,1,1,1,1,1,1,1,NA,3,2,6,5,6,NA,6,NA,5,5,2,2,2,1,1,1,3,9,6,6,8,1,1,1,3,9,4,8,7,2,4,1,3,5,3,7,5,3,12,1,4,9,7,7,12,2,12,3,1,6,8,5,12,3,11,11,11,1,8,3,7,12,8,1,1,1,4,3,4,4,2,1,2,2,2,2,2,1,2,3,3,3,2,1,5,3,1,1,3,1,11,1,4,4,11,1,1,1,5,4,1,5,5,3,1,3,2,4,1,2,3,2,2,1,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,1,1,2,5,1,9,11,7,7,7,7,8,9,11,1,11,11,11,11,11,11,11,11,"Labour",1
